D:\Data\zcb\2012-12-29-Au2.b\002SMPL.d
强度 vs 时间,计数
采集日期      : 2014/12/29 21:21:23 使用批处理 2012-12-29-Au2.b
时间 [s],Au197
0.013,0.00
0.017,0.00
0.020,0.00
0.024,0.00
0.027,0.00
0.031,0.00
0.034,0.00
0.038,0.00
0.041,0.00
0.045,0.00
0.048,0.00
0.052,0.00
0.055,0.00
0.059,0.00
0.062,0.00
0.066,0.00
0.069,0.00
0.073,1.00
0.076,1.00
0.080,0.00
0.083,0.00
0.087,0.00
0.090,0.00
0.094,0.00
0.097,1.00
0.101,0.00
0.104,0.00
0.108,0.00
0.111,0.00
0.115,0.00
0.118,0.00
0.122,0.00
0.125,0.00
0.129,0.00
0.132,0.00
0.136,0.00
0.139,0.00
0.143,0.00
0.146,0.00
0.150,0.00
0.153,0.00
0.157,0.00
0.160,0.00
0.164,0.00
0.167,1.00
0.170,0.00
0.174,0.00
0.178,0.00
0.181,0.00
0.185,0.00
0.188,1.00
0.192,0.00
0.195,0.00
0.199,0.00
0.202,0.00
0.206,2.00
0.209,0.00
0.213,0.00
0.216,0.00
0.220,0.00
0.223,0.00
0.227,0.00
0.230,0.00
0.234,0.00
0.237,0.00
0.241,0.00
0.244,0.00
0.248,0.00
0.251,0.00
0.255,0.00
0.258,0.00
0.262,0.00
0.265,0.00
0.269,0.00
0.272,0.00
0.276,0.00
0.279,0.00
0.282,0.00
0.286,0.00
0.290,0.00
0.293,0.00
0.297,0.00
0.300,0.00
0.304,0.00
0.307,0.00
0.311,0.00
0.315,0.00
0.318,0.00
0.322,0.00
0.325,0.00
0.329,0.00
0.332,0.00
0.336,0.00
0.339,0.00
0.343,0.00
0.346,0.00
0.350,0.00
0.353,0.00
0.357,0.00
0.360,0.00
0.364,0.00
0.367,0.00
0.371,0.00
0.374,0.00
0.378,0.00
0.381,0.00
0.385,0.00
0.388,0.00
0.392,0.00
0.395,0.00
0.399,0.00
0.402,0.00
0.406,0.00
0.409,0.00
0.413,0.00
0.416,0.00
0.420,0.00
0.423,0.00
0.426,0.00
0.430,0.00
0.434,0.00
0.437,0.00
0.441,0.00
0.444,0.00
0.448,0.00
0.451,0.00
0.455,0.00
0.458,0.00
0.462,0.00
0.465,0.00
0.469,0.00
0.472,0.00
0.476,0.00
0.479,0.00
0.483,0.00
0.486,0.00
0.490,0.00
0.493,0.00
0.497,0.00
0.500,0.00
0.504,0.00
0.507,0.00
0.511,0.00
0.514,0.00
0.518,0.00
0.521,0.00
0.525,0.00
0.528,0.00
0.532,0.00
0.535,0.00
0.539,0.00
0.542,0.00
0.546,0.00
0.549,0.00
0.553,0.00
0.556,0.00
0.560,0.00
0.563,0.00
0.567,0.00
0.570,0.00
0.574,0.00
0.577,2.00
0.581,0.00
0.584,0.00
0.588,1.00
0.591,0.00
0.595,0.00
0.598,2.00
0.602,0.00
0.605,0.00
0.609,2.00
0.612,0.00
0.616,0.00
0.618,0.00
0.623,0.00
0.626,0.00
0.630,0.00
0.633,0.00
0.637,0.00
0.640,0.00
0.644,0.00
0.647,0.00
0.651,0.00
0.654,0.00
0.658,0.00
0.661,4.00
0.665,0.00
0.668,0.00
0.672,0.00
0.675,0.00
0.679,0.00
0.682,0.00
0.686,0.00
0.689,0.00
0.693,0.00
0.696,0.00
0.700,0.00
0.703,0.00
0.707,0.00
0.710,0.00
0.714,0.00
0.717,0.00
0.721,1.00
0.724,0.00
0.728,0.00
0.731,0.00
0.735,0.00
0.738,0.00
0.742,0.00
0.745,0.00
0.749,0.00
0.752,0.00
0.756,0.00
0.759,0.00
0.763,1.00
0.766,0.00
0.770,0.00
0.773,0.00
0.777,0.00
0.780,0.00
0.784,0.00
0.787,0.00
0.791,0.00
0.794,0.00
0.798,0.00
0.801,0.00
0.805,0.00
0.808,0.00
0.812,0.00
0.815,0.00
0.819,0.00
0.822,0.00
0.826,0.00
0.829,0.00
0.833,0.00
0.836,0.00
0.840,0.00
0.843,0.00
0.847,0.00
0.850,0.00
0.854,0.00
0.857,0.00
0.861,0.00
0.864,0.00
0.868,0.00
0.871,0.00
0.874,0.00
0.878,0.00
0.882,1.00
0.885,0.00
0.889,0.00
0.892,0.00
0.896,0.00
0.900,0.00
0.903,0.00
0.907,0.00
0.910,0.00
0.914,0.00
0.917,0.00
0.921,0.00
0.924,0.00
0.928,0.00
0.931,0.00
0.935,1.00
0.938,0.00
0.942,0.00
0.945,0.00
0.949,0.00
0.952,0.00
0.956,0.00
0.959,1.00
0.963,0.00
0.966,0.00
0.970,0.00
0.973,0.00
0.977,0.00
0.980,0.00
0.984,0.00
0.987,0.00
0.991,0.00
0.994,0.00
0.998,0.00
1.001,0.00
1.005,0.00
1.008,0.00
1.012,0.00
1.015,0.00
1.019,5.00
1.022,2.00
1.026,0.00
1.029,0.00
1.033,0.00
1.036,0.00
1.040,0.00
1.043,0.00
1.047,0.00
1.050,16.00
1.054,0.00
1.057,0.00
1.061,0.00
1.064,0.00
1.068,0.00
1.071,0.00
1.075,0.00
1.078,1.00
1.082,0.00
1.085,0.00
1.089,0.00
1.092,0.00
1.096,0.00
1.099,0.00
1.103,1.00
1.106,0.00
1.110,0.00
1.113,0.00
1.117,0.00
1.120,15.00
1.124,0.00
1.127,2.00
1.130,0.00
1.134,0.00
1.138,0.00
1.141,0.00
1.145,0.00
1.148,0.00
1.152,0.00
1.155,0.00
1.159,0.00
1.162,0.00
1.166,0.00
1.169,0.00
1.173,0.00
1.176,0.00
1.180,0.00
1.183,19.00
1.187,0.00
1.190,0.00
1.194,0.00
1.197,0.00
1.201,1.00
1.204,0.00
1.208,0.00
1.211,0.00
1.215,0.00
1.218,0.00
1.222,0.00
1.225,0.00
1.229,0.00
1.232,0.00
1.236,0.00
1.239,0.00
1.243,0.00
1.246,0.00
1.250,0.00
1.253,0.00
1.257,0.00
1.260,0.00
1.264,0.00
1.267,0.00
1.271,0.00
1.274,0.00
1.278,0.00
1.281,0.00
1.285,0.00
1.288,0.00
1.292,21.00
1.295,0.00
1.299,0.00
1.302,0.00
1.306,0.00
1.309,0.00
1.313,1.00
1.316,0.00
1.320,1.00
1.322,0.00
1.327,0.00
1.330,10.00
1.334,0.00
1.337,0.00
1.341,0.00
1.344,0.00
1.348,0.00
1.351,0.00
1.355,0.00
1.358,0.00
1.362,0.00
1.365,0.00
1.369,0.00
1.372,0.00
1.376,0.00
1.379,0.00
1.383,0.00
1.386,0.00
1.390,0.00
1.393,0.00
1.397,0.00
1.400,0.00
1.404,0.00
1.407,0.00
1.411,0.00
1.414,1.00
1.418,0.00
1.421,0.00
1.425,0.00
1.428,0.00
1.432,0.00
1.435,0.00
1.439,0.00
1.442,0.00
1.446,0.00
1.449,0.00
1.453,0.00
1.456,0.00
1.460,0.00
1.463,0.00
1.467,0.00
1.470,0.00
1.474,0.00
1.478,0.00
1.481,20.00
1.485,2.00
1.488,0.00
1.492,0.00
1.495,0.00
1.499,0.00
1.502,0.00
1.506,0.00
1.509,1.00
1.513,0.00
1.516,0.00
1.520,0.00
1.523,0.00
1.527,0.00
1.530,0.00
1.534,0.00
1.537,0.00
1.541,0.00
1.544,0.00
1.548,0.00
1.551,0.00
1.555,0.00
1.558,0.00
1.562,0.00
1.565,0.00
1.569,0.00
1.572,0.00
1.576,0.00
1.578,0.00
1.583,0.00
1.586,0.00
1.590,0.00
1.593,0.00
1.597,0.00
1.600,0.00
1.604,0.00
1.607,0.00
1.611,0.00
1.614,0.00
1.618,0.00
1.621,0.00
1.625,0.00
1.628,0.00
1.632,0.00
1.635,0.00
1.639,0.00
1.642,0.00
1.646,0.00
1.649,0.00
1.653,0.00
1.656,0.00
1.660,0.00
1.663,0.00
1.667,0.00
1.670,2.00
1.674,0.00
1.677,0.00
1.681,0.00
1.684,0.00
1.688,0.00
1.691,0.00
1.695,0.00
1.698,0.00
1.702,0.00
1.705,0.00
1.709,0.00
1.712,0.00
1.716,0.00
1.719,0.00
1.723,0.00
1.726,0.00
1.730,0.00
1.733,0.00
1.737,0.00
1.740,0.00
1.744,0.00
1.747,0.00
1.751,0.00
1.754,0.00
1.758,0.00
1.761,0.00
1.765,0.00
1.768,0.00
1.772,0.00
1.775,0.00
1.779,0.00
1.782,0.00
1.786,0.00
1.789,0.00
1.793,0.00
1.796,0.00
1.800,0.00
1.803,0.00
1.807,0.00
1.810,0.00
1.814,0.00
1.817,0.00
1.821,7.00
1.824,2.00
1.828,0.00
1.831,0.00
1.834,0.00
1.838,0.00
1.842,0.00
1.845,0.00
1.849,0.00
1.852,0.00
1.856,0.00
1.859,0.00
1.863,0.00
1.866,14.00
1.870,0.00
1.873,0.00
1.877,0.00
1.880,0.00
1.884,0.00
1.887,0.00
1.891,0.00
1.894,0.00
1.898,0.00
1.901,0.00
1.905,0.00
1.908,0.00
1.912,0.00
1.915,0.00
1.919,0.00
1.922,0.00
1.926,0.00
1.929,0.00
1.933,1.00
1.936,0.00
1.940,0.00
1.943,2.00
1.947,0.00
1.950,0.00
1.954,0.00
1.957,0.00
1.961,0.00
1.964,0.00
1.968,0.00
1.971,0.00
1.975,0.00
1.978,0.00
1.982,0.00
1.985,0.00
1.989,0.00
1.992,0.00
1.996,0.00
1.999,0.00
2.003,22.01
2.006,0.00
2.010,0.00
2.013,0.00
2.017,0.00
2.020,0.00
2.024,21.00
2.026,0.00
2.031,0.00
2.034,0.00
2.038,0.00
2.041,0.00
2.045,0.00
2.048,0.00
2.052,0.00
2.055,0.00
2.059,0.00
2.063,0.00
2.066,0.00
2.070,0.00
2.073,1.00
2.077,0.00
